Night	Date	City	Stay	Status	Place	Place link	Price (CAD)	Other lodging option	Other link	Start of day (to trail)	End of day (from trail)
Sun 6 Sep	2026-09-06	Funchal	Funchal 6–11 (5 nights)	Booked	Magnolia Residence (2 rooms). Check-in. Aerobus 500 airport → Lido (see Buses).	https://www.booking.com/hotel/pt/magnolia-residence.fr.html?checkin=2026-09-06&checkout=2026-09-11		—		—	—
Mon 7 Sep	2026-09-07	Funchal	Funchal 6–11 (5 nights)	Booked	Magnolia Residence	https://www.booking.com/hotel/pt/magnolia-residence.fr.html?checkin=2026-09-06&checkout=2026-09-11		—		—	—
Tue 8 Sep	2026-09-08	Funchal	Funchal 6–11 (5 nights)	Booked	Magnolia Residence	https://www.booking.com/hotel/pt/magnolia-residence.fr.html?checkin=2026-09-06&checkout=2026-09-11		—		—	—
Wed 9 Sep	2026-09-09	Funchal	Funchal 6–11 (5 nights)	Booked	Magnolia Residence	https://www.booking.com/hotel/pt/magnolia-residence.fr.html?checkin=2026-09-06&checkout=2026-09-11		—		—	—
Thu 10 Sep	2026-09-10	Funchal	Funchal 6–11 (5 nights)	Booked	Magnolia Residence (last night; checkout 11 Sep)	https://www.booking.com/hotel/pt/magnolia-residence.fr.html?checkin=2026-09-06&checkout=2026-09-11		—		—	—
Fri 11 Sep	2026-09-11	Porto da Cruz	1 night	Unbooked	Marques studio ($221 CAD)	https://www.booking.com/hotel/pt/marques-studio.html	221	Airbnb Paulo ($229 CAD). Check-in after 15:00.	https://www.airbnb.ca/rooms/1608813018791173064?adults=2&check_in=2026-09-11&check_out=2026-09-12	Checkout Magnolia. 008 → Centro → Campo da Barca. 701 08:30 → Machico (Larano start). Miss 08:30: 826 10:00 (Machico ~11:00) or 827 10:30.	Walk Larano into Porto da Cruz (hotel on foot). Paulo check-in after 15:00. Skip the walk: stay on 826 (via Portela) or 827 (via Maroços) to PdC.
Sat 12 Sep	2026-09-12	Santana	Santana 12–14 (2 nights)	Unbooked	Book 12–14. Casa do Til twin + breakfast $224 CAD (€140 incl taxes).	https://www.booking.com/hotel/pt/casa-do-til-santana.html	224	Casa Os Manos 2× singles $525 CAD (true 2 rooms; get off 850 at Faial).	https://www.booking.com/hotel/pt/casa-os-manos.html	On foot from the PdC hotel toward Portela / PR10. No bus.	850 Ribeiro Frio 14:13 (Faial 14:40, Santana 14:55) or 18:40 (19:20 / 19:35). Til: stay on to Santana. Os Manos: get off Faial. Early finish: 801 10:42.
Sun 13 Sep	2026-09-13	Santana	Santana 12–14 (2 nights)	Unbooked	Casa do Til (same 12–14 booking). PR1 last open day (closed 14–17).	https://www.booking.com/hotel/pt/casa-do-til-santana.html	224	Same as the 12th: Os Manos if 2 rooms. Do not go Santo da Serra / Poiso (no bus ER 202).	https://www.booking.com/hotel/pt/casa-os-manos.html	Taxi Santana/Faial → Pico do Areeiro (~45–60 min; leave ~1 h before the SIMplifica slot). Táxis Santana +351 291 572 540. No bus to the summit.	One-way PR1 to Ruivo, PR1.2 down to Achada do Teixeira, then taxi back to the same Santana/Faial hotel.
Mon 14 Sep	2026-09-14	Coast (Prazeres / Calheta / Jardim)	1 night	Unbooked	Airbnb Prazeres $164	https://www.airbnb.ca/rooms/1718898567563748116?adults=2&check_in=2026-09-14&check_out=2026-09-15	164	Jardim Atlântico $237. Valley backup: Nature Spot Cottage $506.	https://www.booking.com/hotel/pt/jardim-atlantico-calheta.html	Checkout Santana. Taxi → Encumeada (~50 min, ~€40)	After PR6: shuttle up before 18:00 (€5) Casa Florestal → ER 105, then pre-booked taxi to the coast hotel (Calheta 291 822 129). Cottage backup: no evening taxi.
Tue 15 Sep	2026-09-15	Chão da Ribeira	1 night	Unbooked	Mini-house (Xavier) 2 beds $201 CAD. 5 min to Fanal trail.	https://www.airbnb.ca/rooms/1254987563909259224?adults=2&check_in=2026-09-15&check_out=2026-09-16	201	Basalto / Cobalt in Seixal (~$301 / $365) if the valley bed goes. Casa da Nogueira not on Booking.		Taxi 07:00–07:30 hotel → ER 105 car park (not the cottage door). Walk down 20–40 min, then Fio toward Chão. Cottage backup: start at the door.	Arrive on foot at the mini-house. No bus into the valley. Seixal town (~15 min) is the bus/taxi fallback.
